title|author|isbn|publisher|publication_year|category|quantity
O Médico e o Monstro|Robert Louis Stevenson|9788535931532|Penguin-Companhia|2015|Terror Gótico|2
O Retrato de Dorian Gray|Oscar Wilde|9788535909734|L&PM|2012|Ficção Gótica|3
Orgulho e Preconceito|Jane Austen|9788535926446|Martin Claret|2017|Romance|5
Emma|Jane Austen|9788535928099|Martin Claret|2014|Romance|3
Razão e Sensibilidade|Jane Austen|9788535928105|Martin Claret|2014|Romance|3
Persuasão|Jane Austen|9788535930030|Martin Claret|2012|Romance|2
Jane Eyre|Charlotte Brontë|9788544001912|Penguin-Companhia|2015|Romance|4
O Morro dos Ventos Uivantes|Emily Brontë|9788535928839|Penguin-Companhia|2016|Romance|3
Crime e Castigo|Fiódor Dostoiévski|9788535929584|Editora 34|2017|Romance Psicológico|3
Os Irmãos Karamázov|Fiódor Dostoiévski|9788535930795|Editora 34|2012|Romance Psicológico|2
O Idiota|Fiódor Dostoiévski|9788535929997|Editora 34|2015|Romance Psicológico|2
Anna Kariênina|Liev Tolstói|9788535931969|Editora 34|2017|Romance|3
Guerra e Paz|Liev Tolstói|9788535928952|Cosac Naify|2015|Romance Histórico|2
A Morte de Ivan Ilitch|Liev Tolstói|9788535930276|Editora 34|2012|Romance|2
Madame Bovary|Gustave Flaubert|9788535929119|Penguin-Companhia|2014|Romance|3
Os Miseráveis|Victor Hugo|9788535928464|Martin Claret|2017|Romance Histórico|3
O Conde de Monte Cristo|Alexandre Dumas|9788535930344|Zahar|2012|Romance de Aventura|3
Os Três Mosqueteiros|Alexandre Dumas|9788535928280|Zahar|2015|Romance de Aventura|4
A Metamorfose|Franz Kafka|9788535931280|Companhia das Letras|2016|Ficção|4
O Processo|Franz Kafka|9788535930801|Companhia das Letras|2015|Ficção|3
O Castelo|Franz Kafka|9788535931402|Companhia das Letras|2016|Ficção|2
Cem Poemas: O Melhor da Poesia Brasileira|Vários Autores|9788535928631|Companhia das Letras|2017|Poesia|3
Antologia Poética|Vinicius de Moraes|9788535927436|Companhia das Letras|2015|Poesia|4
Sentimento do Mundo|Carlos Drummond de Andrade|9788535931099|Companhia das Letras|2012|Poesia|2
Claro Enigma|Carlos Drummond de Andrade|9788535926583|Companhia das Letras|2014|Poesia|2
A Rosa do Povo|Carlos Drummond de Andrade|9788535930672|Companhia das Letras|2012|Poesia|2
Libertinagem|Manuel Bandeira|9788535928297|Global Editora|2013|Poesia|2
Estrela da Vida Inteira|Manuel Bandeira|9788535929300|Global Editora|2015|Poesia|3
Toda Poesia|Paulo Leminski|9788535928754|Companhia das Letras|2013|Poesia|3
Melhores Poemas|Cecília Meireles|9788535929713|Global Editora|2016|Poesia|2
Romanceiro da Inconfidência|Cecília Meireles|9788535930054|Global Editora|2012|Poesia|2
Gabriela, Cravo e Canela|Jorge Amado|9788535928549|Companhia das Letras|2014|Romance|3
Capitães da Areia|Jorge Amado|9788535929027|Companhia das Letras|2014|Romance|4
Dona Flor e Seus Dois Maridos|Jorge Amado|9788535929560|Companhia das Letras|2015|Romance|3
Tieta do Agreste|Jorge Amado|9788535930511|Companhia das Letras|2012|Romance|2
Terras do Sem-Fim|Jorge Amado|9788535931815|Companhia das Letras|2017|Romance|2
São Bernardo|Graciliano Ramos|9788535928020|Record|2013|Romance|3
Vidas Secas|Graciliano Ramos|9788535929249|Record|2015|Romance|4
Angústia|Graciliano Ramos|9788535930368|Record|2012|Romance|2
A Hora da Estrela|Clarice Lispector|9788535928907|Rocco|2014|Romance|4
A Paixão Segundo G.H.|Clarice Lispector|9788535930825|Rocco|2012|Romance|3
Laços de Família|Clarice Lispector|9788535929478|Rocco|2016|Contos|3
Perto do Coração Selvagem|Clarice Lispector|9788535928686|Rocco|2014|Romance|3
A Hora e a Vez de Augusto Matraga|Guimarães Rosa|9788535931211|Nova Fronteira|2015|Contos|2
Sagarana|Guimarães Rosa|9788535929935|Nova Fronteira|2016|Contos|3
Corpo de Baile|Guimarães Rosa|9788535930917|Nova Fronteira|2012|Contos|2
O Auto da Compadecida|Ariano Suassuna|9788535929652|Nova Fronteira|2015|Teatro|4
A Pedra do Reino|Ariano Suassuna|9788535930627|Nova Fronteira|2012|Romance|2
Quincas Borba|Machado de Assis|9788535928433|Penguin-Companhia|2014|Romance|3
Esaú e Jacó|Machado de Assis|9788535931846|Penguin-Companhia|2017|Romance|2
Memorial de Aires|Machado de Assis|9788535929904|Penguin-Companhia|2016|Romance|2
A Moreninha|Joaquim Manuel de Macedo|9788535928358|Ática|2013|Romance|3
Iracema|José de Alencar|9788535929690|Martin Claret|2015|Romance|3
O Guarani|José de Alencar|9788535930474|Martin Claret|2012|Romance|2
Senhora|José de Alencar|9788535928891|Martin Claret|2014|Romance|3
Lucíola|José de Alencar|9788535931754|Martin Claret|2017|Romance|2
Memórias de um Sargento de Milícias|Manuel Antônio de Almeida|9788535929386|Penguin-Companhia|2015|Romance|3
A Cidade e as Serras|Eça de Queirós|9788535931624|Penguin-Companhia|2016|Romance|2
Os Maias|Eça de Queirós|9788535930184|Penguin-Companhia|2012|Romance|3
O Primo Basílio|Eça de Queirós|9788535929171|Penguin-Companhia|2014|Romance|3
O Crime do Padre Amaro|Eça de Queirós|9788535931389|Penguin-Companhia|2015|Romance|3
A Relíquia|Eça de Queirós|9788535928976|Penguin-Companhia|2014|Romance|2
Quem me Dera Ser Onda|Manuel Rui|9788535930740|Record|2012|Romance|2
Mayombe|Pepetela|9788535929829|LeYa|2016|Romance|2
O Vendedor de Passados|José Eduardo Agualusa|9788535931570|Foz|2016|Romance|3
Mãe, Matei o Presidente|Fabiana Gugli|9788535928518|Record|2014|Romance|2
O Filho Eterno|Cristovão Tezza|9788535930993|Record|2012|Romance|2
Ensaio Sobre a Cegueira|José Saramago|9788535929416|Companhia das Letras|2015|Romance|4
Memorial do Convento|José Saramago|9788535930917|Companhia das Letras|2012|Romance Histórico|3
A Caverna|José Saramago|9788535931051|Companhia das Letras|2013|Romance|3
Levantado do Chão|José Saramago|9788535928723|Companhia das Letras|2014|Romance|2
O Evangelho Segundo Jesus Cristo|José Saramago|9788535930139|Companhia das Letras|2012|Romance|3
Caim|José Saramago|9788535931174|Companhia das Letras|2013|Romance|3
A Jangada de Pedra|José Saramago|9788535929904|Companhia das Letras|2016|Romance|2
Todos os Nomes|José Saramago|9788535928297|Companhia das Letras|2014|Romance|2
O Homem Duplicado|José Saramago|9788535930886|Companhia das Letras|2012|Romance|2
As Intermitências da Morte|José Saramago|9788535931723|Companhia das Letras|2017|Romance|3
História do Cerco de Lisboa|José Saramago|9788535928600|Companhia das Letras|2014|Romance Histórico|2
Manual de Pintura e Caligrafia|José Saramago|9788535929867|Companhia das Letras|2016|Romance|2
O Ano da Morte de Ricardo Reis|José Saramago|9788535930238|Companhia das Letras|2012|Romance|2
A Viagem do Elefante|José Saramago|9788535931266|Companhia das Letras|2015|Romance|3
Ensaio Sobre a Lucidez|José Saramago|9788535928969|Companhia das Letras|2014|Romance|2
Don Quixote de la Mancha|Miguel de Cervantes|9788535930061|Penguin-Companhia|2012|Romance|3
Cem Sonetos de Amor|Pablo Neruda|9788535931877|L&PM|2017|Poesia|2
Vinte Poemas de Amor e Uma Canção Desesperada|Pablo Neruda|9788535928372|L&PM|2013|Poesia|4
Canto Geral|Pablo Neruda|9788535930962|Bertrand Brasil|2012|Poesia|2
Odas Elementares|Pablo Neruda|9788535929621|L&PM|2015|Poesia|2
O Amor nos Tempos do Cólera|Gabriel García Márquez|9788535931112|Record|2013|Romance|4
Crônica de uma Morte Anunciada|Gabriel García Márquez|9788535929195|Record|2014|Romance|3
Ninguém Escreve ao Coronel|Gabriel García Márquez|9788535930702|Record|2012|Romance|3
O Outono do Patriarca|Gabriel García Márquez|9788535931938|Record|2017|Romance|2
Memórias de Minhas Putas Tristes|Gabriel García Márquez|9788535928815|Record|2014|Romance|3
Relato de um Náufrago|Gabriel García Márquez|9788535930429|Record|2012|Não-ficção|2
A Incrível e Triste História da Cândida Eréndira|Gabriel García Márquez|9788535929058|Record|2014|Contos|2
Doze Contos Peregrinos|Gabriel García Márquez|9788535931730|Record|2017|Contos|2
Dos Amores Cachorro|Alejandro Dolina|9788535928426|Record|2013|Contos|2
Rayuela: O Jogo da Amarelinha|Julio Cortázar|9788535931327|Civilização Brasileira|2015|Romance|2
Bestiário|Julio Cortázar|9788535929881|José Olympio|2016|Contos|2
Final do Jogo|Julio Cortázar|9788535930467|José Olympio|2012|Contos|2
O Túnel|Ernesto Sabato|9788535928341|Companhia das Letras|2013|Romance|2
Sobre Heróis e Tumbas|Ernesto Sabato|9788535931600|Companhia das Letras|2016|Romance|2
Ficciones|Jorge Luis Borges|9788535930986|Companhia das Letras|2012|Contos|3
O Aleph|Jorge Luis Borges|9788535929706|Companhia das Letras|2015|Contos|3
O Livro de Areia|Jorge Luis Borges|9788535928204|Companhia das Letras|2013|Contos|2
História Universal da Infâmia|Jorge Luis Borges|9788535931259|Companhia das Letras|2015|Contos|2
Pedro Páramo|Juan Rulfo|9788535930139|Record|2012|Romance|2
A Casa dos Espíritos|Isabel Allende|9788535929775|Bertrand Brasil|2016|Realismo Mágico|3
De Amor e de Sombra|Isabel Allende|9788535928662|Bertrand Brasil|2014|Romance|2
Eva Luna|Isabel Allende|9788535931365|Bertrand Brasil|2015|Romance|3
Paula|Isabel Allende|9788535930337|Bertrand Brasil|2012|Biografia|2
A Festa do Bode|Mario Vargas Llosa|9788535929508|Alfaguara|2015|Romance Histórico|2
Conversa na Catedral|Mario Vargas Llosa|9788535931433|Alfaguara|2016|Romance|2
A Cidade e os Cachorros|Mario Vargas Llosa|9788535928891|Alfaguara|2014|Romance|2
Tia Julia e o Escrevinhador|Mario Vargas Llosa|9788535930719|Alfaguara|2012|Romance|2
Travessuras da Menina Má|Mario Vargas Llosa|9788535929331|Alfaguara|2015|Romance|2
O Sonho do Celga|Mario Vargas Llosa|9788535931969|Alfaguara|2017|Romance Histórico|2
A Guerra do Fim do Mundo|Mario Vargas Llosa|9788535928129|Alfaguara|2013|Romance Histórico|2
Pantaleão e as Visitadoras|Mario Vargas Llosa|9788535930535|Alfaguara|2012|Romance|2
A Casa Verde|Mario Vargas Llosa|9788535931501|Alfaguara|2016|Romance|2
Édipo Rei|Sófocles|9788535928471|L&PM|2014|Teatro Clássico|3
Antígona|Sófocles|9788535930290|L&PM|2012|Teatro Clássico|3
Medeia|Eurípides|9788535929454|Jorge Zahar|2015|Teatro Clássico|2
As Bacantes|Eurípides|9788535928938|Jorge Zahar|2014|Teatro Clássico|2
Ilíada|Homero|9788535931044|Penguin-Companhia|2013|Poesia Épica|3
Odisseia|Homero|9788535929744|Penguin-Companhia|2015|Poesia Épica|4
Eneida|Virgílio|9788535930825|Editora 34|2012|Poesia Épica|2
A República|Platão|9788535928655|Edipro|2014|Filosofia|3
O Banquete|Platão|9788535931778|L&PM|2017|Filosofia|3
Fédon|Platão|9788535929836|Edipro|2016|Filosofia|2
Ética a Nicômaco|Aristóteles|9788535930078|Edipro|2012|Filosofia|3
Política|Aristóteles|9788535929522|Edipro|2015|Filosofia|2
Poética|Aristóteles|9788535931082|Edipro|2013|Filosofia|3
Meditações|Marco Aurélio|9788535928242|Edipro|2013|Filosofia|4
Confissões|Santo Agostinho|9788535930603|Vozes|2012|Filosofia|2
A Cidade de Deus|Santo Agostinho|9788535929348|Vozes|2014|Filosofia|2
Suma Teológica|Tomás de Aquino|9788535931365|Loyola|2015|Filosofia|2
O Príncipe|Nicolau Maquiavel|9788535928808|Penguin-Companhia|2014|Filosofia Política|5
Discursos sobre a Primeira Década de Tito Lívio|Nicolau Maquiavel|9788535930146|Martins Fontes|2012|Filosofia Política|2
Utopia|Thomas More|9788535929645|L&PM|2015|Filosofia Política|3
Leviatã|Thomas Hobbes|9788535931617|Martins Fontes|2016|Filosofia Política|2
Segundo Tratado sobre o Governo|John Locke|9788535928532|Edipro|2014|Filosofia Política|2
Do Contrato Social|Jean-Jacques Rousseau|9788535930382|Penguin-Companhia|2012|Filosofia Política|4
Discurso sobre a Origem da Desigualdade|Jean-Jacques Rousseau|9788535929287|L&PM|2014|Filosofia|3
Emílio, ou Da Educação|Jean-Jacques Rousseau|9788535931433|Martins Fontes|2016|Filosofia|2
Crítica da Razão Pura|Immanuel Kant|9788535928265|Vozes|2013|Filosofia|2
Crítica da Razão Prática|Immanuel Kant|9788535930931|Edipro|2012|Filosofia|2
Crítica da Faculdade do Juízo|Immanuel Kant|9788535929997|Forense Universitária|2015|Filosofia|2
Fundamentação da Metafísica dos Costumes|Immanuel Kant|9788535931150|Edipro|2014|Filosofia|2
A Paz Perpétua|Immanuel Kant|9788535928792|L&PM|2014|Filosofia Política|3
Fenomenologia do Espírito|Georg Wilhelm Friedrich Hegel|9788535930658|Vozes|2012|Filosofia|2
Ciência da Lógica|Georg Wilhelm Friedrich Hegel|9788535929409|Vozes|2015|Filosofia|2
Filosofia do Direito|Georg Wilhelm Friedrich Hegel|9788535931296|Loyola|2015|Filosofia|2
O Mundo como Vontade e Representação|Arthur Schopenhauer|9788535928136|Editora Unesp|2013|Filosofia|2
Assim Falou Zaratustra|Friedrich Nietzsche|9788535930214|Companhia das Letras|2012|Filosofia|4
Além do Bem e do Mal|Friedrich Nietzsche|9788535929133|Companhia das Letras|2014|Filosofia|3
Genealogia da Moral|Friedrich Nietzsche|9788535931082|Companhia das Letras|2013|Filosofia|3
O Nascimento da Tragédia|Friedrich Nietzsche|9788535928883|Companhia das Letras|2014|Filosofia|3
Ecce Homo|Friedrich Nietzsche|9788535930498|Companhia das Letras|2012|Filosofia|2
O Anticristo|Friedrich Nietzsche|9788535929744|Companhia das Letras|2015|Filosofia|2
Crepúsculo dos Ídolos|Friedrich Nietzsche|9788535931365|Companhia das Letras|2015|Filosofia|2
O Capital - Volume 1|Karl Marx|9788535928327|Boitempo|2013|Filosofia Política|2
Manifesto Comunista|Karl Marx|9788535930863|Boitempo|2012|Filosofia Política|4
A Ideologia Alemã|Karl Marx|9788535929591|Boitempo|2015|Filosofia|2
Manuscritos Econômico-Filosóficos|Karl Marx|9788535931679|Boitempo|2016|Filosofia|2
O 18 de Brumário de Luís Bonaparte|Karl Marx|9788535928594|Boitempo|2014|Filosofia Política|2
Ser e Tempo|Martin Heidegger|9788535930726|Vozes|2012|Filosofia|2
A Origem da Obra de Arte|Martin Heidegger|9788535929263|Edições 70|2014|Filosofia|2
O Ser e o Nada|Jean-Paul Sartre|9788535931518|Vozes|2016|Filosofia|2
Crítica da Razão Dialética|Jean-Paul Sartre|9788535928440|DP&A|2014|Filosofia|2
O Existencialismo é um Humanismo|Jean-Paul Sartre|9788535930832|Vozes|2012|Filosofia|3
O Segundo Sexo - Volume 1|Simone de Beauvoir|9788535929942|Nova Fronteira|2016|Filosofia|2
O Segundo Sexo - Volume 2|Simone de Beauvoir|9788535929959|Nova Fronteira|2016|Filosofia|2
A Náusea|Jean-Paul Sartre|9788535931235|Nova Fronteira|2015|Romance|3
A Idade da Razão|Jean-Paul Sartre|9788535928716|Nova Fronteira|2014|Romance|2
Entre Quatro Paredes|Jean-Paul Sartre|9788535930955|Civilização Brasileira|2012|Teatro|3
As Moscas|Jean-Paul Sartre|9788535929362|Civilização Brasileira|2014|Teatro|2
O Mito de Sísifo|Albert Camus|9788535931304|Record|2015|Filosofia|3
O Homem Revoltado|Albert Camus|9788535928976|Record|2014|Filosofia|2
O Estrangeiro|Albert Camus|9788535930870|Record|2012|Romance|5
A Peste|Albert Camus|9788535929546|Record|2015|Romance|4
A Queda|Albert Camus|9788535931426|Record|2016|Romance|2
Calígula|Albert Camus|9788535928709|Civilização Brasileira|2014|Teatro|2
Vigiar e Punir|Michel Foucault|9788535930092|Vozes|2012|Filosofia|3
História da Loucura|Michel Foucault|9788535929225|Perspectiva|2014|Filosofia|2
As Palavras e as Coisas|Michel Foucault|9788535931197|Martins Fontes|2014|Filosofia|2
História da Sexualidade - Volume 1|Michel Foucault|9788535928976|Paz e Terra|2014|Filosofia|3
História da Sexualidade - Volume 2|Michel Foucault|9788535930634|Paz e Terra|2012|Filosofia|2
História da Sexualidade - Volume 3|Michel Foucault|9788535929379|Paz e Terra|2014|Filosofia|2
A Arqueologia do Saber|Michel Foucault|9788535931540|Forense Universitária|2016|Filosofia|2
Microfísica do Poder|Michel Foucault|9788535928433|Paz e Terra|2014|Filosofia|3
A Ordem do Discurso|Michel Foucault|9788535930801|Loyola|2012|Filosofia|3
Diferença e Repetição|Gilles Deleuze|9788535929096|Editora 34|2014|Filosofia|2
Mil Platôs - Volume 1|Gilles Deleuze|9788535931723|Editora 34|2017|Filosofia|2
Mil Platôs - Volume 2|Gilles Deleuze|9788535928600|Editora 34|2014|Filosofia|2
Mil Platôs - Volume 3|Gilles Deleuze|9788535930252|Editora 34|2012|Filosofia|2
Mil Platôs - Volume 4|Gilles Deleuze|9788535929867|Editora 34|2016|Filosofia|2
Mil Platôs - Volume 5|Gilles Deleuze|9788535931990|Editora 34|2017|Filosofia|2
O Anti-Édipo|Gilles Deleuze|9788535928228|Editora 34|2013|Filosofia|2
O Que é a Filosofia?|Gilles Deleuze|9788535930993|Editora 34|2012|Filosofia|2
A Lógica do Sentido|Gilles Deleuze|9788535929621|Perspectiva|2015|Filosofia|2
Gramatologia|Jacques Derrida|9788535931334|Perspectiva|2015|Filosofia|2
A Escritura e a Diferença|Jacques Derrida|9788535928884|Perspectiva|2014|Filosofia|2
A Voz e o Fenômeno|Jacques Derrida|9788535930726|Jorge Zahar|2012|Filosofia|2
Espectros de Marx|Jacques Derrida|9788535929263|Relume Dumará|2014|Filosofia|2
Curso de Linguística Geral|Ferdinand de Saussure|9788535931518|Cultrix|2016|Linguística|3
Morfologia do Conto|Vladimir Propp|9788535928440|CopyMarket|2014|Teoria Literária|2
Problemas da Poética de Dostoiévski|Mikhail Bakhtin|9788535930832|Forense Universitária|2012|Teoria Literária|2
A Cultura Popular na Idade Média|Mikhail Bakhtin|9788535929942|Hucitec|2016|Teoria Literária|2
Marxismo e Filosofia da Linguagem|Mikhail Bakhtin|9788535931235|Hucitec|2015|Linguística|2
Estética da Criação Verbal|Mikhail Bakhtin|9788535928716|Martins Fontes|2014|Teoria Literária|2
Mitologias|Roland Barthes|9788535930955|Bertrand Brasil|2012|Semiótica|3
O Grau Zero da Escritura|Roland Barthes|9788535929362|Cultrix|2014|Teoria Literária|2
S/Z|Roland Barthes|9788535931304|Nova Fronteira|2015|Teoria Literária|2
O Prazer do Texto|Roland Barthes|9788535928976|Perspectiva|2014|Teoria Literária|2
A Câmara Clara|Roland Barthes|9788535930870|Nova Fronteira|2012|Fotografia|2
Elementos de Semiologia|Roland Barthes|9788535929546|Cultrix|2015|Semiótica|2
Sistema da Moda|Roland Barthes|9788535931426|Martins Fontes|2016|Semiótica|2
A Interpretação dos Sonhos|Sigmund Freud|9788535928709|L&PM|2014|Psicanálise|3
O Mal-Estar na Civilização|Sigmund Freud|9788535930092|Penguin-Companhia|2012|Psicanálise|4
Além do Princípio do Prazer|Sigmund Freud|9788535929225|Companhia das Letras|2014|Psicanálise|2
Totem e Tabu|Sigmund Freud|9788535931197|Penguin-Companhia|2014|Psicanálise|3
Três Ensaios sobre a Teoria da Sexualidade|Sigmund Freud|9788535928976|Companhia das Letras|2014|Psicanálise|2
Psicologia das Massas e Análise do Eu|Sigmund Freud|9788535930634|Companhia das Letras|2012|Psicanálise|2
Luto e Melancolia|Sigmund Freud|9788535929379|Cosac Naify|2014|Psicanálise|2
O Futuro de uma Ilusão|Sigmund Freud|9788535931540|Penguin-Companhia|2016|Psicanálise|2
Moisés e o Monoteísmo|Sigmund Freud|9788535928433|Companhia das Letras|2014|Psicanálise|2
Os Chistes e Sua Relação com o Inconsciente|Sigmund Freud|9788535930801|Companhia das Letras|2012|Psicanálise|2
Escritos|Jacques Lacan|9788535929096|Jorge Zahar|2014|Psicanálise|2
O Seminário - Livro 1|Jacques Lacan|9788535931723|Jorge Zahar|2017|Psicanálise|2
O Seminário - Livro 2|Jacques Lacan|9788535928600|Jorge Zahar|2014|Psicanálise|2
O Seminário - Livro 7|Jacques Lacan|9788535930252|Jorge Zahar|2012|Psicanálise|2
O Seminário - Livro 11|Jacques Lacan|9788535929867|Jorge Zahar|2016|Psicanálise|2
O Seminário - Livro 20|Jacques Lacan|9788535931990|Jorge Zahar|2017|Psicanálise|2
Psicologia Analítica|Carl Gustav Jung|9788535928228|Vozes|2013|Psicologia|2
O Homem e Seus Símbolos|Carl Gustav Jung|9788535930993|Nova Fronteira|2012|Psicologia|4
Os Arquétipos e o Inconsciente Coletivo|Carl Gustav Jung|9788535929621|Vozes|2015|Psicologia|2
Memórias, Sonhos, Reflexões|Carl Gustav Jung|9788535931334|Nova Fronteira|2015|Biografia|3
Psicologia do Inconsciente|Carl Gustav Jung|9788535928884|Vozes|2014|Psicologia|2
A Dinâmica do Inconsciente|Carl Gustav Jung|9788535930726|Vozes|2012|Psicologia|2
Aion: Estudos sobre o Simbolismo do Si-Mesmo|Carl Gustav Jung|9788535929263|Vozes|2014|Psicologia|2
A Natureza da Psique|Carl Gustav Jung|9788535931518|Vozes|2016|Psicologia|2
Tipos Psicológicos|Carl Gustav Jung|9788535928440|Vozes|2014|Psicologia|2
Psicologia da Religião Ocidental e Oriental|Carl Gustav Jung|9788535930832|Vozes|2012|Psicologia|2
A Interpretação da Natureza e a Psique|Carl Gustav Jung|9788535929942|Vozes|2016|Psicologia|2
